2026-06-01 14:47:27,884 | ERROR | src.ingestion.complaints.upload_to_s3 | S3 upload failed: `Import pyarrow` failed. pyarrow is required for parquet support. Use pip or conda to install the pyarrow package.
2026-06-01 14:49:17,362 | INFO | src.ingestion.complaints.download_cfpb | Starting CFPB download from 2025-01-01 to 2025-01-31
2026-06-01 14:49:17,363 | INFO | src.ingestion.complaints.download_cfpb | Sending request to CFPB API (Attempt 1)
2026-06-01 14:49:42,641 | INFO | src.ingestion.complaints.download_cfpb | API stream received successfully. Parsing content...
2026-06-01 14:49:46,541 | INFO | src.ingestion.complaints.download_cfpb | Retrieved 475786 complaint records
2026-06-01 14:49:46,541 | INFO | src.ingestion.complaints.download_cfpb | CFPB download completed successfully
2026-06-01 14:49:46,557 | INFO | src.ingestion.complaints.validate_file | Starting dataframe validation
2026-06-01 14:49:46,557 | INFO | src.ingestion.complaints.validate_file | Row Count: 475,786
2026-06-01 14:49:46,558 | INFO | src.ingestion.complaints.validate_file | Column Count: 18
2026-06-01 14:49:46,558 | INFO | src.ingestion.complaints.validate_file | Required columns validation passed
2026-06-01 14:49:46,568 | INFO | src.ingestion.complaints.validate_file | Duplicate Records Found: 0
2026-06-01 14:49:46,568 | INFO | src.ingestion.complaints.validate_file | Null value analysis started
2026-06-01 14:49:46,570 | INFO | src.ingestion.complaints.validate_file | Complaint ID Null Count: 0
2026-06-01 14:49:46,571 | INFO | src.ingestion.complaints.validate_file | Date received Null Count: 0
2026-06-01 14:49:46,571 | INFO | src.ingestion.complaints.validate_file | Product Null Count: 0
2026-06-01 14:49:46,572 | INFO | src.ingestion.complaints.validate_file | Company Null Count: 0
2026-06-01 14:49:46,574 | INFO | src.ingestion.complaints.validate_file | Consumer complaint narrative Null Count: 302,847
2026-06-01 14:49:46,575 | INFO | src.ingestion.complaints.validate_file | Validation completed successfully
2026-06-01 14:49:46,575 | INFO | src.ingestion.complaints.upload_to_s3 | Starting S3 upload process
2026-06-01 14:49:58,460 | INFO | src.ingestion.complaints.upload_to_s3 | Upload successful: raw/complaints/year=2026/month=06/day=01/complaints.parquet
2026-06-01 15:01:04,973 | INFO | src.ingestion.complaints.download_cfpb | Starting CFPB download from 2025-01-01 to 2025-01-31
2026-06-01 15:01:04,974 | INFO | src.ingestion.complaints.download_cfpb | Sending request to CFPB API (Attempt 1)
2026-06-01 15:01:32,517 | INFO | src.ingestion.complaints.download_cfpb | API stream received successfully. Parsing content...
2026-06-01 15:01:38,355 | INFO | src.ingestion.complaints.download_cfpb | Retrieved 475786 complaint records
2026-06-01 15:01:38,355 | INFO | src.ingestion.complaints.download_cfpb | CFPB download completed successfully
2026-06-01 15:01:38,377 | INFO | src.ingestion.complaints.validate_file | Starting dataframe validation
2026-06-01 15:01:38,377 | INFO | src.ingestion.complaints.validate_file | Row Count: 475,786
2026-06-01 15:01:38,378 | INFO | src.ingestion.complaints.validate_file | Column Count: 18
2026-06-01 15:01:38,378 | INFO | src.ingestion.complaints.validate_file | Required columns validation passed
2026-06-01 15:01:38,398 | INFO | src.ingestion.complaints.validate_file | Duplicate Records Found: 0
2026-06-01 15:01:38,398 | INFO | src.ingestion.complaints.validate_file | Null value analysis started
2026-06-01 15:01:38,402 | INFO | src.ingestion.complaints.validate_file | Complaint ID Null Count: 0
2026-06-01 15:01:38,403 | INFO | src.ingestion.complaints.validate_file | Date received Null Count: 0
2026-06-01 15:01:38,405 | INFO | src.ingestion.complaints.validate_file | Product Null Count: 0
2026-06-01 15:01:38,407 | INFO | src.ingestion.complaints.validate_file | Company Null Count: 0
2026-06-01 15:01:38,429 | INFO | src.ingestion.complaints.validate_file | Consumer complaint narrative Null Count: 302,847
2026-06-01 15:01:38,430 | INFO | src.ingestion.complaints.validate_file | Validation completed successfully
2026-06-01 15:01:38,430 | INFO | src.ingestion.complaints.upload_to_s3 | Starting S3 upload process
2026-06-01 15:06:16,771 | INFO | src.ingestion.complaints.upload_to_s3 | Upload successful: raw/complaints/year=2026/month=06/day=01/cfpb_complaints_20260601_190138.parquet
